id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt0443232,The Book of the Dead,Shisha no sho,2005,70,"Animation,Drama,Fantasy",6.6,245,actress,Iratsume of Fujiwara,Rie Miyazawa,1973,\N,actress,"tt0348299,tt0351817,tt0101494,tt4778500"
tt0443310,Ah Aah: Anbe Aaruyire,Ah Aah: Anbe Aaruyire,2005,165,"Fantasy,Romance",5.3,252,actress,\N,Meera Chopra,1983,\N,actress,"tt4401890,tt4830788,tt4401884,tt8144834"
tt0443455,Brand Upon the Brain!,Brand Upon the Brain! A Remembrance in 12 Chapters,2006,95,"Comedy,Drama,Fantasy",7.3,3576,actress,Mother,Gretchen Krich,\N,\N,"actress,costume_department","tt0122529,tt0443455,tt2828954,tt1734433"
tt0443543,The Illusionist,The Illusionist,2006,110,"Drama,Fantasy,Mystery",7.6,373948,actor,Inspector Uhl,Paul Giamatti,1967,\N,"actor,producer,soundtrack","tt0352248,tt2024544,tt0375063,tt0305206"
tt0443567,Left Behind III: World at War,Left Behind III: World at War,2005,95,"Action,Drama,Fantasy",4.4,3951,actor,President Gerald Fitzhugh,Louis Gossett Jr.,1936,\N,"actor,producer,soundtrack","tt0084434,tt0085750,tt0089092,tt0075572"
tt0443734,A Christmas Carol,Natale a casa Deejay - A Christmas Carol,2004,75,"Comedy,Fantasy",5.2,135,actor,Cavalier di Molfetta,Linus,1957,\N,"actor,writer","tt16283258,tt4421344,tt0443734,tt0287187"
tt0443737,Death Trance,Desu toransu,2005,89,"Action,Adventure,Fantasy",5.6,1872,actor,Grave,Tak Sakaguchi,1975,\N,"actor,miscellaneous,stunts","tt1091202,tt1669604,tt0475723,tt0275773"
tt0444778,Citizen Dog,Mah nakorn,2004,100,"Comedy,Fantasy,Romance",7.3,1880,actress,Jin,Saengthong Gate-Uthong,\N,\N,actress,"tt0444778,tt3180600,tt1090782"
tt0445009,The Eternal Present,The Eternal Present,2004,77,"Fantasy,Horror,Mystery",6.2,65,actor,Director,Mark Lefebvre,\N,\N,actor,"tt2251232,tt0445009,tt3567196,tt11096628"
tt0445282,Hex vs. Witchcraft,Che dau che,1980,96,"Comedy,Fantasy,Horror",5.6,99,actor,Cai Tou,James Yi Lui,1943,1999,"actor,director,writer","tt1265126,tt1265115,tt0083963,tt12025526"
tt0445509,Mga kwento ni Lola Basyang,Mga kwento ni Lola Basyang,1985,\N,"Family,Fantasy,Horror",7.2,47,actor,Ama,Dante Castro,\N,\N,actor,"tt0220015,tt0378179,tt0383203,tt0125044"
tt0445689,Mat the Cat,Röövlirahnu Martin,2005,75,"Comedy,Family,Fantasy",6.3,253,actor,Nitram,Ott Sepp,1982,\N,"actor,writer,assistant_director","tt0445554,tt2239512,tt1796192,tt9546082"
tt0445922,Across the Universe,Across the Universe,2007,133,"Drama,Fantasy,History",7.3,111199,actress,Sadie,Dana Fuchs,1976,\N,"actress,soundtrack,music_department","tt0423169,tt0445922,tt1211353,tt3421258"
tt0445960,Eréndira la indomable,Eréndira la indomable,2006,117,"Adventure,Drama,Fantasy",6.8,140,actress,Tangaxoan woman,Erandini Catalina Alvarado Villegas,\N,\N,actress,tt0445960
tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112,"Action,Comedy,Fantasy",7.5,427177,actress,Ramona Flowers,Mary Elizabeth Winstead,1984,\N,"actress,producer,soundtrack","tt0446029,tt1028528,tt0337978,tt1179933"
tt0446463,The Secret,Si j'étais toi,2007,93,"Drama,Fantasy,Horror",6.2,3839,actress,Hannah Marris,Lili Taylor,1967,\N,"actress,writer,soundtrack","tt1457767,tt0116594,tt3488298"
tt0446476,Storm,Storm,2005,110,"Drama,Fantasy,Mystery",5.6,2695,actress,MedhjälpareAssistant,Lina Englund,1975,\N,actress,"tt0837106,tt0118083,tt0292647,tt0446476"
tt0446685,Drawing Restraint 9,Drawing Restraint 9,2005,135,Fantasy,6.5,1513,actor,Occidental Guest,Matthew Barney,1967,\N,"director,writer,producer","tt0491540,tt1992236,tt0446685,tt0214605"
tt0447257,Little John,Little John,2001,126,"Action,Fantasy,Musical",5.1,245,actress,Nirmala Vishwanath,Bharti Achrekar,1957,\N,"actress,producer","tt13853152,tt0096922,tt5282604,tt2350496"
